Provinsi;2020;2021;2022;2023;
ACEH;13,4;12,1;8,0;7,5;
SUMATERA UTARA;6,8;6,7;5,5;4,5;
SUMATERA BARAT;17,5;15,1;10,3;8,8;
RIAU;7,7;6,0;4,2;3,0;
JAMBI;7,6;3,0;4,1;3,7;
SUMATERA SELATAN;2,3;4,4;3,1;1,8;
BENGKULU;8,3;6,3;4,8;4,5;
LAMPUNG;5,3;6,1;4,5;3,9;
KEPULAUAN BANGKA BELITUNG;3,3;5,9;3,9;3,2;
KEPULAUAN RIAU;9,2;7,6;4,9;3,8;
DKI JAKARTA;0,1;3,2;1,2;1,0;
JAWA BARAT;9,0;8,3;6,9;6,3;
JAWA TENGAH;13,1;9,0;9,4;9,1;
DI YOGYAKARTA;11,9;10,6;9,2;8,9;
JAWA TIMUR;11,5;10,7;9,5;6,9;
BANTEN;4,9;6,7;6,8;4,0;
BALI;9,4;5,0;4,5;3,2;
NUSA TENGGARA BARAT;20,2;21,7;18,5;15,8;
NUSA TENGGARA TIMUR;26,3;22,6;22,4;17,4;
KALIMANTAN BARAT;27,4;21,0;16,3;17,5;
KALIMANTAN TENGAH;22,2;10,8;10,1;10,1;
KALIMANTAN SELATAN;13,1;10,4;9,3;8,7;
KALIMANTAN TIMUR;14,5;11,8;13,5;10,2;
KALIMANTAN UTARA;28,7;18,5;16,4;8,9;
SULAWESI UTARA;5,3;3,0;2,3;2,4;
SULAWESI TENGAH;13,7;13,2;13,1;11,3;
SULAWESI SELATAN;11,9;10,4;9,0;8,2;
SULAWESI TENGGARA;16,7;18,5;11,0;10,3;
GORONTALO;11,0;8,5;7,5;5,2;
SULAWESI BARAT;22,7;19,3;23,1;23,2;
MALUKU;8,3;6,8;9,9;5,2;
MALUKU UTARA;9,3;13,0;12,3;6,8;
PAPUA BARAT;12,0;12,8;11,9;10,9;
PAPUA;4,7;11,4;9,1;10,9;
PAPUA PEGUNUNGAN;5,9;7,5;2,3;1,4;
PAPUA SELATAN;11,3;13,1;16,5;13,7;
PAPUA TENGAH;16,6;6,6;13,4;9,7;
PAPUA BARAT DAYA;17,7;13,8;13,2;7,0;
