Stunting Management,Poverty,Happiness Index,HDI
61.95,806.82,71.24,72.18
58.56,1268.19,70.57,72.00
63.97,335.21,71.34,72.65
60.04,485.03,71.8,72.94
61.03,279.37,75.17,71.63
60.22,1044.69,72.37,70.24
60.41,297.23,69.74,71.64
64.27,1002.41,71.64,69.90
60.68,66.78,73.25,71.69
62.76,151.68,74.78,75.79
70.56,502.04,70.68,81.11
66.22,4070.98,70.23,72.45
71.17,3831.44,71.73,72.16
79.94,454.76,71.7,80.22
70.69,4181.29,72.08,72.14
64.32,814.02,68.08,72.72
69.71,205.68,71.44,75.69
72.97,731.94,69.98,68.65
64.81,1131.62,70.31,65.28
56.46,350.25,72.49,67.90
58.16,145.1,73.13,71.25
66.77,195.7,73.48,71.28
64.94,236.25,73.49,76.88
64.04,49.46,76.33,71.19
64.78,185.14,74.96,73.30
63.83,388.35,74.46,69.79
66.21,777.44,73.07,72.24
61.66,309.79,73.98,71.66
69.48,185.44,74.77,69.00
66.03,165.72,73.46,66.36
50.91,290.57,76.28,69.71
53.42,79.87,76.34,68.76
56.45,218.78,74.52,65.26
41.7,922.12,69.87,60.62
